Elección extraordinaria para la Senaduría del estado de Tamaulipas 2023
20/02/2023 00:00 (UTC-6)
ACTAS_ESPERADAS,ACTAS_REGISTRADAS,ACTAS_FUERA_CATALOGO,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_INCONSISTENCIAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,TOTAL_VOTOS_C_CS,TOTAL_VOTOS_S_CS,PORCENTAJE_PARTICIPACION_CIUDADANA
4778,3864,4,3860,80.7869,3801,79.5521,18.0828,59,2233443,466713,466713,20.8965
CLAVE_CASILLA,CLAVE_ACTA,ID_ENTIDAD,ENTIDAD,ID_DISTRITO_FEDERAL,DISTRITO_FEDERAL,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,PVEM,PT,MORENA,PAN-PRI-PRD,PAN-PRI,PAN-PRD,PRI-PRD,PT-MORENA,NO_REGISTRADAS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,CODIGO_INTEGRIDAD,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO,COTEJADA
'280757C0100','280757C01002',28,TAMAULIPAS,001,Nuevo Laredo,0757,01,C,00,1,2,491,121,1,122,17,4,1,4,3,85,1,0,0,0,3,0,4,122,122,601,13, ,1,,df8d669e7cbb8608b059c8c64340b688734aefa444e08b687a3254f1cec48393,19/02/2023 19:53:28,19/02/2023 20:40:02,19/02/2023 20:40:33,CASILLA,Móvil,Acta PREP,1
'280757C0200','280757C02002',28,TAMAULIPAS,001,Nuevo Laredo,0757,02,C,00,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,601,7, ,-,-,-,-,-,-,-,-,-,-
'280758B0100','280758B01002',28,TAMAULIPAS,001,Nuevo Laredo,0758,01,B,00,1,2,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,0,700,17,['Todos los campos vacíos'],0,F,91b95c5353be3847cade60e8cb2cfff535cda38a74a0739dac4e00ae5c108393,19/02/2023 19:57:30,19/02/2023 21:31:12,19/02/2023 21:31:35,CASILLA,Móvil,Acta PREP,1
'280758C0100','280758C01002',28,TAMAULIPAS,001,Nuevo Laredo,0758,01,C,00,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,700,3, ,-,-,-,-,-,-,-,-,-,-
'280758C0200','280758C02002',28,TAMAULIPAS,001,Nuevo Laredo,0758,02,C,00,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,699,5, ,-,-,-,-,-,-,-,-,-,-
'280758C0300','280758C03002',28,TAMAULIPAS,001,Nuevo Laredo,0758,03,C,00,1,2,573,137,3,Ilegible,51,Ilegible,0,2,2,Ilegible,0,1,0,0,5,2,5,138,68,699,13,['Ilegible'],1,I,d5f35955233443dbe5a269d373870ef6c1e593650ed817d9ef6eaa9ab2f5a87d,19/02/2023 19:35:54,19/02/2023 23:20:59,19/02/2023 23:22:10,CASILLA,Móvil,Acta PREP,1
'280759B0100','280759B01002',28,TAMAULIPAS,001,Nuevo Laredo,0759,01,B,00,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,661,9, ,-,-,-,-,-,-,-,-,-,-
'280759C0100','280759C01002',28,TAMAULIPAS,001,Nuevo Laredo,0759,01,C,00,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,661,17, ,-,-,-,-,-,-,-,-,-,-
'280759C0200','280759C02002',28,TAMAULIPAS,001,Nuevo Laredo,0759,02,C,00,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,661,17, ,-,-,-,-,-,-,-,-,-,-
'280759C0300','280759C03002',28,TAMAULIPAS,001,Nuevo Laredo,0759,03,C,00,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,661,7, ,-,-,-,-,-,-,-,-,-,-
'280759C0400','280759C04002',28,TAMAULIPAS,001,Nuevo Laredo,0759,04,C,00,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,661,5, ,-,-,-,-,-,-,-,-,-,-
'280759C0500','280759C05002',28,TAMAULIPAS,001,Nuevo Laredo,0759,05,C,00,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,661,9, ,-,-,-,-,-,-,-,-,-,-
